filename,iati-activity/iati-identifier[1],iati-activity/sector,iati-activity/sector@code,iati-activity/sector@percentage,iati-activity/sector@vocabulary,iati-activity/sector@vocabulary-uri,iati-activity/sector/narrative[1]
drc-activities,DK-CVR-20699310-DF20381,,72050,100,1,,
drc-activities,DK-CVR-20699310-DF18695,,72050,100,1,,
drc-activities,DK-CVR-20699310-DF19726,,15160,,1,,
drc-activities,DK-CVR-20699310-DK19938,,15123,100,1,,
drc-activities,DK-CVR-20699310-DK2112467,,15123,100,1,,
drc-activities,DK-CVR-20699310-DF2055,,73010,100,1,,
drc-activities,DK-CVR-20699310-DF21849,,72010,100,1,,
drc-activities,DK-CVR-20699310-DU19527,,15220,100,1,,
drc-activities,DK-CVR-20699310-DU20658,,14030,100,1,,
drc-activities,DK-CVR-20699310-DU191129,,15190,100,1,,
drc-activities,DK-CVR-20699310-DF20376,,72010,100,1,,
drc-activities,DK-CVR-20699310-DK19947,,72010,100,1,,
drc-activities,DK-CVR-20699310-DF221251,,15190,100,1,,
drc-activities,DK-CVR-20699310-DF211215,,72050,100,1,,
drc-activities,DK-CVR-20699310-DU22821,,15220,100,1,,
drc-activities,DK-CVR-20699310-DF21532,"
      ",72010,100,1,,Basic Needs
drc-activities,DK-CVR-20699310-DRCRO04-19,,72010,32.75,1,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,72050,31.25,1,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,15220,23.5,1,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,73010,0.5,1,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,15160,12.,1,,
drc-activities,DK-CVR-20699310-GA22,,15123,100,1,,
drc-activities,DK-CVR-20699310-DRCCOL19,,72010,32.25,1,,
drc-activities,DK-CVR-20699310-DRCCOL19,,72050,0.75,1,,
drc-activities,DK-CVR-20699310-DRCCOL19,,15160,67,1,,
drc-activities,DK-CVR-20699310-DRCRO02-19,,72010,75.5,1,,
drc-activities,DK-CVR-20699310-DRCRO02-19,,73010,2.75,1,,
drc-activities,DK-CVR-20699310-DRCRO02-19,,15160,21.75,1,,
drc-activities,DK-CVR-20699310-DRCRO03-19,,72010,41.5,1,,
drc-activities,DK-CVR-20699310-DRCRO03-19,,72050,0,1,,
drc-activities,DK-CVR-20699310-DRCRO03-19,,15220,1.5,1,,
drc-activities,DK-CVR-20699310-DRCRO03-19,,73010,27.5,1,,
drc-activities,DK-CVR-20699310-DRCRO03-19,,15160,29.5,1,,
drc-activities,DK-CVR-20699310-DRCRO06-19,,72010,44.50,1,,
drc-activities,DK-CVR-20699310-DRCRO06-19,,72050,28.50,1,,
drc-activities,DK-CVR-20699310-DRCRO06-19,,15220,0,1,,
