filename,iati-activity/iati-identifier[1],iati-activity/participating-org,iati-activity/participating-org@activity-id,iati-activity/participating-org@crs-channel-code,iati-activity/participating-org@ref,iati-activity/participating-org@role,iati-activity/participating-org@type,iati-activity/participating-org/narrative[1],iati-activity/participating-org/narrative[1]@{http://www.w3.org/XML/1998/namespace}lang,iati-activity/participating-org/narrative[2],iati-activity/participating-org/narrative[2]@{http://www.w3.org/XML/1998/namespace}lang
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,GB-CHC-1065972,4,21,International Rescue Committee UK,en,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",GB-COH-213890-82604014,,GB-COH-213890,4,21,Save the Children UK,en,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",GB-GOV-1-300461-103,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,DK-CVR-20699310,1,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,GB-CHC-1076822,4,21,Save the Children International,en,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",GB-CHC-1065972-DF184,,GB-CHC-1065972,4,21,International Rescue Committee UK,en,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",GB-CHC-1047501-UG-West_Nile,,GB-CHC-1047501,4,21,Action Against Hunger UK,en,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",GB-GOV-1-300357-104,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,,4,21,Lutheran World Federation,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF19726,"
      ",GB-GOV-1-300432-102,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",DK-CVR-20699310-DF16726,,DK-CVR-20699310,4,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF19726,"
      ",NO-BRC-977538319-NGFM1611,,NO-BRC-977538319,4,21,Norwegian Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",GB-CHC-1065972-DF143,,GB-CHC-1065972,2,21,International Rescue Committee UK,en,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",US-EIN-13-5660870-DF143,,US-EIN-13-5660870,4,21,"International Rescue Committee, The",en,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",,21000,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DK19938,"
      ",XM-DAC-3-1-271673-32612,11000,XM-DAC-3-1,1,10,Denmark - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",DK-CVR-20699310-DK21649,21000,DK-CVR-20699310,4,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DK2112467,"
      ",XM-DAC-3-1-271671-32611,11000,XM-DAC-3-1,1,10,Denmark - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DK2112467,"
      ",,21000,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DK2112467,"
      ",,21000,DK-CVR-20699310,4,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF2055,"
      ",GB-GOV-1-300561,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF2055,"
      ",DK-CVR-20699310-DF5520,,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF2055,"
      ",DK-CVR-20699310DF5520,,DK-CVR-20699310,4,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF21849,"
      ",GB-1-205255-104,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",DK-CVR-20699310-DF21849,,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF21849,"
      ",DK-CVR-20699310-DF21849,,DK-CVR-20699310,1,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",,,GB-CHC-1076235,4,21,BBC Media Action,en,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",,,GB-CHC-1148404,4,21,Internews Europe,en,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",,,GB-CHC-1148404,4,21,Internews Europe,en,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",,,,4,21,Ground Truth Solutions,,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",,,NO-BRC-977538319,4,21,Norwegian Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",,,,4,90,The New Humanitarian,,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",US-EIN-61-1725201-AP20002,,US-EIN-61-1725201,4,21,"Field Ready, USA",en,,
drc-activities,DK-CVR-20699310-DU19527,"
      ",XM-DAC-7-PPR-4000000964,,NL-KVK-27378529,1,10,Netherlands Enterprise Agency,en,,
drc-activities,DK-CVR-20699310-DU19527,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DU19527,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU20658,"
      ",XM-DAC-7-PPR-4000002041,,XM-DAC-7,1,10,Netherlands - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DU20658,"
      ",DK-CVR-20699310-DU20658,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
