filename,iati-activity/iati-identifier[1],iati-activity/policy-marker,iati-activity/policy-marker@code,iati-activity/policy-marker@significance,iati-activity/policy-marker@vocabulary
drc-activities,DK-CVR-20699310-DF20381,,1,0,1
drc-activities,DK-CVR-20699310-DF20381,,2,0,1
drc-activities,DK-CVR-20699310-DF20381,,3,0,1
drc-activities,DK-CVR-20699310-DF20381,,4,0,1
drc-activities,DK-CVR-20699310-DF18695,,,,
drc-activities,DK-CVR-20699310-DF19726,,,,
drc-activities,DK-CVR-20699310-DK19938,,,,
drc-activities,DK-CVR-20699310-DK2112467,,,,
drc-activities,DK-CVR-20699310-DF2055,,,,
drc-activities,DK-CVR-20699310-DF21849,,1,0,1
drc-activities,DK-CVR-20699310-DF21849,,2,0,1
drc-activities,DK-CVR-20699310-DF21849,,3,0,1
drc-activities,DK-CVR-20699310-DF21849,,4,0,1
drc-activities,DK-CVR-20699310-DU19527,,,,
drc-activities,DK-CVR-20699310-DU20658,,1,0,1
drc-activities,DK-CVR-20699310-DU20658,,2,0,1
drc-activities,DK-CVR-20699310-DU20658,,3,0,1
drc-activities,DK-CVR-20699310-DU20658,,4,0,1
drc-activities,DK-CVR-20699310-DU20658,,5,0,1
drc-activities,DK-CVR-20699310-DU20658,,6,0,1
drc-activities,DK-CVR-20699310-DU20658,,7,0,1
drc-activities,DK-CVR-20699310-DU20658,,8,0,1
drc-activities,DK-CVR-20699310-DU20658,,9,0,1
drc-activities,DK-CVR-20699310-DU191129,,1,1,1
drc-activities,DK-CVR-20699310-DU191129,,2,0,1
drc-activities,DK-CVR-20699310-DU191129,,3,2,1
drc-activities,DK-CVR-20699310-DU191129,,4,0,1
drc-activities,DK-CVR-20699310-DU191129,,6,0,1
drc-activities,DK-CVR-20699310-DU191129,,5,0,1
drc-activities,DK-CVR-20699310-DU191129,,7,0,1
drc-activities,DK-CVR-20699310-DU191129,,8,0,1
drc-activities,DK-CVR-20699310-DU191129,,9,0,1
drc-activities,DK-CVR-20699310-DF20376,,1,0,1
drc-activities,DK-CVR-20699310-DF20376,,2,0,1
drc-activities,DK-CVR-20699310-DF20376,,3,0,1
drc-activities,DK-CVR-20699310-DF20376,,4,0,1
drc-activities,DK-CVR-20699310-DF20376,,5,0,1
drc-activities,DK-CVR-20699310-DF20376,,6,0,1
drc-activities,DK-CVR-20699310-DF20376,,7,0,1
drc-activities,DK-CVR-20699310-DF20376,,8,0,1
drc-activities,DK-CVR-20699310-DK19947,,3,1,1
drc-activities,DK-CVR-20699310-DF221251,,,,
drc-activities,DK-CVR-20699310-DF211215,,1,0,1
drc-activities,DK-CVR-20699310-DF211215,,2,0,1
drc-activities,DK-CVR-20699310-DF211215,,3,0,1
drc-activities,DK-CVR-20699310-DF211215,,4,0,1
drc-activities,DK-CVR-20699310-DF211215,,5,0,1
drc-activities,DK-CVR-20699310-DF211215,,6,0,1
drc-activities,DK-CVR-20699310-DF211215,,7,0,1
drc-activities,DK-CVR-20699310-DF211215,,8,0,1
drc-activities,DK-CVR-20699310-DF211215,,9,0,
drc-activities,DK-CVR-20699310-DF211215,,10,0,1
drc-activities,DK-CVR-20699310-DU22821,,1,1,1
drc-activities,DK-CVR-20699310-DF21532,,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,,
drc-activities,DK-CVR-20699310-GA22,,,,
drc-activities,DK-CVR-20699310-DRCCOL19,,,,
drc-activities,DK-CVR-20699310-DRCRO02-19,,,,
drc-activities,DK-CVR-20699310-DRCRO03-19,,,,
drc-activities,DK-CVR-20699310-DRCRO06-19,,,,
drc-activities,DK-CVR-20699310-DRCRO01-19,,,,
drc-activities,DK-CVR-20699310-DRCRO05-19,,,,
drc-activities,DK-CVR-20699310-DF212197,,,,
drc-activities,DK-CVR-20699310-DF201067,,,,
drc-activities,DK-CVR-20699310-DK19953,,3,1,1
drc-activities,DK-CVR-20699310-DK1925,,3,1,1
drc-activities,DK-CVR-20699310-DK19524,,3,1,1
drc-activities,DK-CVR-20699310-DK19615,,3,1,1
drc-activities,DK-CVR-20699310-DK19649,,3,1,1
drc-activities,DK-CVR-20699310-DK19950,,,,
drc-activities,DK-CVR-20699310-DK19652,,3,1,1
drc-activities,DK-CVR-20699310-DK19653,,3,1,1
drc-activities,DK-CVR-20699310-DK19713,,,,
drc-activities,DK-CVR-20699310-DK19715,,3,1,1
drc-activities,DK-CVR-20699310-DK19720,,3,1,1
drc-activities,DK-CVR-20699310-DK19726,,3,1,1
drc-activities,DK-CVR-20699310-DK19741,,3,1,1
drc-activities,DK-CVR-20699310-DK19744,,3,1,1
drc-activities,DK-CVR-20699310-DK19843,,,,
drc-activities,DK-CVR-20699310-DK19888,,3,1,1
drc-activities,DK-CVR-20699310-DK19903,,3,1,1
drc-activities,DK-CVR-20699310-DK19971,,3,1,1
drc-activities,DK-CVR-20699310-DK19973,,3,1,1
drc-activities,DK-CVR-20699310-DK19974,,3,1,1
drc-activities,DK-CVR-20699310-DK19976,,3,1,1
drc-activities,DK-CVR-20699310-DK19977,,3,1,1
drc-activities,DK-CVR-20699310-DK191007,,3,1,1
drc-activities,DK-CVR-20699310-DK19742,,3,1,1
drc-activities,DK-CVR-20699310-DK191239,,3,1,1
drc-activities,DK-CVR-20699310-DK191790,,3,1,1
drc-activities,DK-CVR-20699310-DK19479,,3,1,1
drc-activities,DK-CVR-20699310-DK201680,,3,1,1
drc-activities,DK-CVR-20699310-DK201681,,3,1,1
drc-activities,DK-CVR-20699310-DK201683,,3,1,1
drc-activities,DK-CVR-20699310-DK201685,,3,1,1
drc-activities,DK-CVR-20699310-DK201687,,3,1,1
drc-activities,DK-CVR-20699310-DK201688,,3,1,1
drc-activities,DK-CVR-20699310-DK201689,,3,1,1
drc-activities,DK-CVR-20699310-DK201690,,3,1,1
drc-activities,DK-CVR-20699310-DK1940,,3,1,1
drc-activities,DK-CVR-20699310-DK201692,,3,1,1
drc-activities,DK-CVR-20699310-DK19972,,3,1,1
drc-activities,DK-CVR-20699310-DK201686,,3,1,1
drc-activities,DK-CVR-20699310-DU252394,,1,1,1
drc-activities,DK-CVR-20699310-DU252394,,3,2,1
drc-activities,DK-CVR-20699310-DU252398,,1,1,1
drc-activities,DK-CVR-20699310-DU252398,,3,2,1
drc-activities,DK-CVR-20699310-DU252397,,1,1,1
drc-activities,DK-CVR-20699310-DU252397,,3,2,1
drc-activities,DK-CVR-20699310-DU252399,,1,1,1
drc-activities,DK-CVR-20699310-DU252399,,3,2,1
drc-activities,DK-CVR-20699310-DK201695,,3,1,1
drc-activities,DK-CVR-20699310-DK201693,,3,1,1
drc-activities,DK-CVR-20699310-DK201698,,3,1,1
drc-activities,DK-CVR-20699310-DK201699,,3,1,1
drc-activities,DK-CVR-20699310-DK201700,,3,1,1
drc-activities,DK-CVR-20699310-DK201701,,3,1,1
drc-activities,DK-CVR-20699310-DK201711,,3,1,1
drc-activities,DK-CVR-20699310-DK201716,,3,1,1
drc-activities,DK-CVR-20699310-DK201717,,3,1,1
drc-activities,DK-CVR-20699310-DK201719,,3,1,1
drc-activities,DK-CVR-20699310-DK201704,,3,1,1
drc-activities,DK-CVR-20699310-DK201708,,3,1,1
drc-activities,DK-CVR-20699310-DK201720,,3,1,1
drc-activities,DK-CVR-20699310-DK201718,,3,1,1
drc-activities,DK-CVR-20699310-DF212759,,,,
drc-activities,DK-CVR-20699310-DK202628,,3,1,1
drc-activities,DK-CVR-20699310-DK202691,,3,1,1
drc-activities,DK-CVR-20699310-DK201710,,3,1,1
drc-activities,DK-CVR-20699310-DK201707,,3,1,1
drc-activities,DK-CVR-20699310-DK201702,,3,1,1
drc-activities,DK-CVR-20699310-DK201706,,3,1,1
drc-activities,DK-CVR-20699310-DK1926,,3,1,1
drc-activities,DK-CVR-20699310-DK201691,,3,1,1
drc-activities,DK-CVR-20699310-DK201832,,3,1,1
drc-activities,DK-CVR-20699310-DK201684,,3,1,1
drc-activities,DK-CVR-20699310-DK201712,,3,1,1
drc-activities,DK-CVR-20699310-DK201715,,3,1,1
drc-activities,DK-CVR-20699310-DK201709,,3,1,1
drc-activities,DK-CVR-20699310-DK201705,,3,1,1
drc-activities,DK-CVR-20699310-DK201696,,3,1,1
