filename,iati-activity/iati-identifier[1],iati-activity/transaction/provider-org,iati-activity/transaction/provider-org@provider-activity-id,iati-activity/transaction/provider-org@ref,iati-activity/transaction/provider-org@type,iati-activity/transaction/provider-org/narrative[1],iati-activity/transaction/provider-org/narrative[1]@{http://www.w3.org/XML/1998/namespace}lang
drc-activities,DK-CVR-20699310-DF20381,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DF20381,,DK-CVR-20699310-DF20381,DK-CVR-20699310,21,,
drc-activities,DK-CVR-20699310-DF20381,"
        ",GB-GOV-1-300461,GB-GOV-1,10,DFID (UK department for International Development),
drc-activities,DK-CVR-20699310-DF20381,"
        ",GB-GOV-1-300461,GB-GOV-1,10,DFID (UK Department for International Development),
drc-activities,DK-CVR-20699310-DF20381,"
        ",GB-GOV-1-300461,GB-GOV-1,10,DFID (UK Department for International Development),
drc-activities,DK-CVR-20699310-DF20381,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF20381,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF20381,,,,,,
drc-activities,DK-CVR-20699310-DF20381,,,,,,
drc-activities,DK-CVR-20699310-DF20381,,,,,,
drc-activities,DK-CVR-20699310-DF20381,,,,,,
drc-activities,DK-CVR-20699310-DF20381,,,,,,
drc-activities,DK-CVR-20699310-DF20381,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
        ",GB-GOV-1-300461,GB-GOV-1,10,DFID (UK Department for International Development),
drc-activities,DK-CVR-20699310-DF20381,"
        ",GB-GOV-1-300461,GB-GOV-1,10,DFID (UK Department for International Development),
drc-activities,DK-CVR-20699310-DF20381,"
        ",GB-GOV-1-300461,GB-GOV-1,10,DFID (UK Department for International Development),
drc-activities,DK-CVR-20699310-DF20381,"
        ",GB-GOV-1-300461,GB-GOV-1,10,DFID (UK Department for International Development),
drc-activities,DK-CVR-20699310-DF20381,"
        ",GB-GOV-1-300461,GB-GOV-1,10,DFID (UK department for International Development),
drc-activities,DK-CVR-20699310-DF20381,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF20381,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF20381,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF20381,"
        ",DK-CVR-20693310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF20381,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF20381,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF20381,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF20381,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF20381,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,
