filename,iati-activity/iati-identifier[1],iati-activity/transaction/recipient-country,iati-activity/transaction/recipient-country@code,iati-activity/transaction/recipient-country@percentage
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF18695,,,
drc-activities,DK-CVR-20699310-DF18695,,,
drc-activities,DK-CVR-20699310-DF18695,,,
drc-activities,DK-CVR-20699310-DF18695,,,
drc-activities,DK-CVR-20699310-DF18695,,,
drc-activities,DK-CVR-20699310-DF18695,,,
drc-activities,DK-CVR-20699310-DF18695,,,
drc-activities,DK-CVR-20699310-DF18695,,,
drc-activities,DK-CVR-20699310-DF18695,,,
drc-activities,DK-CVR-20699310-DF18695,,,
drc-activities,DK-CVR-20699310-DF18695,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK2112467,,,
drc-activities,DK-CVR-20699310-DK2112467,,,
drc-activities,DK-CVR-20699310-DK2112467,,,
drc-activities,DK-CVR-20699310-DK2112467,,,
drc-activities,DK-CVR-20699310-DK2112467,,,
drc-activities,DK-CVR-20699310-DK2112467,,,
drc-activities,DK-CVR-20699310-DK2112467,,,
drc-activities,DK-CVR-20699310-DK2112467,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF2055,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DU19527,,,
drc-activities,DK-CVR-20699310-DU19527,,,
drc-activities,DK-CVR-20699310-DU19527,,,
drc-activities,DK-CVR-20699310-DU19527,,,
drc-activities,DK-CVR-20699310-DU19527,,,
drc-activities,DK-CVR-20699310-DU19527,,,
drc-activities,DK-CVR-20699310-DU19527,,,
drc-activities,DK-CVR-20699310-DU19527,,,
drc-activities,DK-CVR-20699310-DU19527,,,
drc-activities,DK-CVR-20699310-DU19527,,,
drc-activities,DK-CVR-20699310-DU19527,,,
drc-activities,DK-CVR-20699310-DU19527,,,
drc-activities,DK-CVR-20699310-DU20658,,,
drc-activities,DK-CVR-20699310-DU20658,,,
drc-activities,DK-CVR-20699310-DU20658,,,
drc-activities,DK-CVR-20699310-DU20658,,,
drc-activities,DK-CVR-20699310-DU20658,,,
drc-activities,DK-CVR-20699310-DU20658,,,
drc-activities,DK-CVR-20699310-DU20658,,,
drc-activities,DK-CVR-20699310-DU20658,,,
drc-activities,DK-CVR-20699310-DU20658,,,
drc-activities,DK-CVR-20699310-DU20658,,,
drc-activities,DK-CVR-20699310-DU20658,,,
drc-activities,DK-CVR-20699310-DU191129,,,
drc-activities,DK-CVR-20699310-DU191129,,,
drc-activities,DK-CVR-20699310-DU191129,,,
drc-activities,DK-CVR-20699310-DU191129,,,
drc-activities,DK-CVR-20699310-DU191129,,,
drc-activities,DK-CVR-20699310-DU191129,,,
drc-activities,DK-CVR-20699310-DU191129,,,
drc-activities,DK-CVR-20699310-DU191129,,,
drc-activities,DK-CVR-20699310-DU191129,,,
drc-activities,DK-CVR-20699310-DF20376,,,
drc-activities,DK-CVR-20699310-DK19947,,,
drc-activities,DK-CVR-20699310-DK19947,,,
drc-activities,DK-CVR-20699310-DK19947,,,
drc-activities,DK-CVR-20699310-DK19947,,,
drc-activities,DK-CVR-20699310-DK19947,,,
drc-activities,DK-CVR-20699310-DK19947,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF221251,,,
drc-activities,DK-CVR-20699310-DF211215,,,
drc-activities,DK-CVR-20699310-DF211215,,,
drc-activities,DK-CVR-20699310-DF211215,,,
drc-activities,DK-CVR-20699310-DF211215,,,
drc-activities,DK-CVR-20699310-DF211215,,,
drc-activities,DK-CVR-20699310-DU22821,,,
drc-activities,DK-CVR-20699310-DU22821,,,
drc-activities,DK-CVR-20699310-DU22821,,,
drc-activities,DK-CVR-20699310-DU22821,,,
drc-activities,DK-CVR-20699310-DU22821,,,
drc-activities,DK-CVR-20699310-DU22821,,,
drc-activities,DK-CVR-20699310-DF21532,,,
drc-activities,DK-CVR-20699310-DF21532,,,
drc-activities,DK-CVR-20699310-DF21532,,,
drc-activities,DK-CVR-20699310-DF21532,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-GA22,,,
drc-activities,DK-CVR-20699310-DRCCOL19,,,
drc-activities,DK-CVR-20699310-DRCCOL19,,,
drc-activities,DK-CVR-20699310-DRCCOL19,,,
drc-activities,DK-CVR-20699310-DRCCOL19,,,
drc-activities,DK-CVR-20699310-DRCCOL19,,,
drc-activities,DK-CVR-20699310-DRCCOL19,,,
drc-activities,DK-CVR-20699310-DRCCOL19,,,
drc-activities,DK-CVR-20699310-DRCRO02-19,,,
drc-activities,DK-CVR-20699310-DRCRO02-19,,,
drc-activities,DK-CVR-20699310-DRCRO02-19,,,
